电影名,导演,主演,年份,电影类型,评分,评语,电影海报
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011,奇幻 冒险,8.9,10年的完美句点。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.webp
春光乍泄,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,剧情 爱情 同性,9.0,爱情纠缠，男女一致。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.webp
七宗罪,大卫·芬奇 David Fincher   ,摩根·弗里曼 Morgan Freeman / 布...,1995,剧情 犯罪 悬疑 惊悚,8.8,警察抓小偷，老鼠玩死猫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.webp
摩登时代,查理·卓别林 Charles Chaplin   ,查理·卓别林 Charles Chaplin ...,1936,剧情 喜剧 爱情,9.3,大时代中的人生，小人物的悲喜。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.webp
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,周星驰 Stephen Ch...,1999,喜剧 剧情 爱情,8.8,我是一个演员。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.webp
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima   ,中谷美纪 Miki Nakatani / 瑛太 E...,2006,剧情 歌舞,8.9,以戏谑来戏谑戏谑。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.webp
致命ID,詹姆斯·曼高德 James Mangold   ,约翰·库萨克 John Cusack / 雷...,2003,剧情 悬疑 惊悚,8.8,最不可能的那个人永远是最可能的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.webp
杀人回忆,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,剧情 动作 犯罪 悬疑 惊悚,8.9,关于连环杀人悬案的集体回忆。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.webp
加勒比海盗,戈尔·维宾斯基 Gore Verbinski   ,约翰尼·德普 Johnny Depp / ...,2003,动作 冒险 奇幻,8.8,约翰尼·德普的独角戏。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.webp
剪刀手爱德华,蒂姆·波顿 Tim Burton   ,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,剧情 奇幻 爱情,8.7,浪漫忧郁的成人童话。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.webp
狩猎,托马斯·温特伯格 Thomas Vinterberg   ,麦斯·米科尔森 Mads Mik...,2012,剧情,9.1,人言可畏。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.webp
勇敢的心,梅尔·吉布森 Mel Gibson   ,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,动作 传记 剧情 历史 战争,8.9,史诗大片的典范。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.webp
红辣椒,今敏 Satoshi Kon   ,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,动画 悬疑 科幻 惊悚,9.0,梦的勾结。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.webp
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino   ,艾米·汉莫 Armie Hammer / ...,2017,剧情 爱情 同性,8.9,沉醉在电影的情感和视听氛围中无法自拔。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.webp
7号房的礼物,李焕庆 Hwan-kyeong Lee   ,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,剧情 喜剧 家庭,8.9,《我是山姆》的《美丽人生》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.webp
